scenario,n,method,usable_replications,median_absolute_bias,median_se_to_sd,median_coverage,mean_coverage,median_interval_width,stabilization_frequency
nt_p2_strong_balanced,2000,naive,1000.0,0.00455625559850765,0.5542508549160877,0.7415,0.7464166666666667,0.1233604653569397,0.0
nt_p5_moderate_balanced,500,corrected_stabilized,1000.0,0.00307127213283885,0.9766454881130691,0.9345000000000001,0.933,0.28490855598947606,0.417
nt_p5_moderate_balanced,500,naive,1000.0,0.00307127213283885,0.8687618153973481,0.9085000000000001,0.9060476190476191,0.24259922081412816,0.0
nt_p5_moderate_balanced,2000,corrected_stabilized,1000.0,0.00170277881942095,1.0208229740612018,0.943,0.9423809523809523,0.15124473857004717,0.149
nt_p5_moderate_balanced,2000,naive,1000.0,0.00170277881942095,0.846980252975037,0.904,0.9030952380952381,0.1214647736968016,0.0
nt_p5_separated_balanced,500,corrected_stabilized,1000.0,0.00207986576256395,1.0135998591925914,0.9444999999999999,0.9446666666666668,0.26514163335593777,0.169
nt_p5_separated_balanced,500,naive,1000.0,0.00207986576256395,0.9575180865771702,0.938,0.937404761904762,0.24629561302075395,0.0
nt_p5_separated_balanced,2000,corrected_stabilized,1000.0,0.0012792002932502,1.018153973214167,0.9495,0.9493095238095237,0.134966239206049,0.045
nt_p5_separated_balanced,2000,naive,1000.0,0.0012792002932502,0.9559114260393989,0.9384999999999999,0.9380000000000001,0.1232344067932162,0.0
nt_p5_strong_balanced,500,corrected_stabilized,1000.0,0.00719321154958325,0.6216753328556102,0.913,0.9094047619047619,0.3177820433470881,0.492
nt_p5_strong_balanced,500,naive,1000.0,0.00719321154958325,0.5304304805818574,0.8734999999999999,0.8755476190476191,0.271476118965435,0.0
nt_p5_strong_balanced,2000,corrected_stabilized,1000.0,0.00219693054299795,1.0361669003688552,0.94,0.9402380952380953,0.1649143096504641,0.295
nt_p5_strong_balanced,2000,naive,1000.0,0.00219693054299795,0.8002368430152218,0.886,0.8820714285714285,0.12029242819480475,0.0
ntsn_p2_moderate_balanced,1000,corrected_stabilized,992.0,0.09480318004243365,0.567061491467534,0.746975806451613,0.7551915322580645,0.30073675222086227,0.1955645161290322
ntsn_p2_moderate_balanced,1000,naive,992.0,0.09480318004243365,0.459526132211124,0.6960685483870968,0.7205645161290323,0.26263929694897065,0.0
ntsn_p5_moderate_balanced,1000,corrected_stabilized,956.0,0.00802629209794855,1.010365110654627,0.9210251046025104,0.8569560669456067,0.25872041056416284,0.5418410041841004
ntsn_p5_moderate_balanced,1000,naive,956.0,0.00802629209794855,0.8785668578055683,0.9011506276150627,0.8301901304454836,0.2257866216018426,0.0
