scenario,n,coordinate,coordinate_name,replications,mean_root_n_error,sd_root_n_error,skewness,excess_kurtosis,ks_distance,q010,q025,q050,q100,q250,q500,q750,q900,q950,q975,q990
nt_p10_moderate_balanced,1000,111.0,component_2_student_t_coordinate_45,500,-0.31307429228432354,1.4177855720840955,2.2521537791936916,24.630607846161105,0.05971032569718393,-2.1704979752868616,-1.8096359765510523,-1.4961249861617412,-1.1835714511987872,-0.588475250715639,0.003391179493619279,0.6022434776751212,1.023413621962245,1.3436375620984984,1.7135555655057817,2.0918530075245783
nt_p10_moderate_balanced,1000,112.0,component_2_student_t_coordinate_46,500,-0.046295506390030244,1.6315852750360387,0.03740190440154071,-0.026520420573915793,0.024119921597462346,-2.253161654340916,-1.9384131826410038,-1.6532062652725354,-1.2651302904159045,-0.7085357599602271,0.0013030799891454291,0.6572498536050048,1.2888424100114677,1.729065749713254,2.004712581193272,2.3274438941089284
nt_p10_moderate_balanced,1000,113.0,component_2_student_t_coordinate_47,500,-0.12723897110062746,1.6327708835629593,-0.2434767407527037,-0.1116292569672015,0.032281070788861,-2.3764204810920506,-2.001887530898001,-1.735255829006123,-1.3392251203811496,-0.6795483608730137,-0.004541167274476577,0.7627531458031677,1.1909523025190927,1.5206617060959011,1.8626514734123976,2.0228285768876426
nt_p10_moderate_balanced,1000,114.0,component_2_student_t_coordinate_48,500,-0.1133741063914919,1.6051499064245083,-0.12415627877393005,0.707073879173953,0.04008137100625264,-2.2824253409155744,-1.954843109254101,-1.6579203210378721,-1.2496956328307,-0.617093860467614,-0.015002610560464324,0.5997450806315027,1.3492372765372975,1.64667931696148,1.9120312968295399,2.28612791261785
nt_p10_moderate_balanced,1000,115.0,component_2_student_t_coordinate_49,500,0.1582673893941341,1.7407532596643207,0.12541125525040142,1.0135816430682492,0.034585823651083425,-2.526020261824912,-1.9646600120827609,-1.460525809474531,-1.1854433921663527,-0.6228203061695272,-0.07050467732762261,0.6352365162235828,1.1958064462112532,1.6811804134901145,1.9772528518097408,2.415784314918306
nt_p10_moderate_balanced,1000,116.0,component_2_student_t_coordinate_50,500,-0.07124129895453789,1.7008116479116115,0.3008250828238838,1.7950096107412397,0.024264870309397835,-2.2643269446683902,-1.9219425311230152,-1.470699340453702,-1.1818568679638868,-0.6487127557556647,-0.041559427783229665,0.6785588564785747,1.187050898672753,1.6124258735113424,1.9947571831106503,2.319039191285722
nt_p10_moderate_balanced,1000,117.0,component_2_student_t_coordinate_51,500,0.02807449828619074,1.79186037683301,0.011035985581123661,-0.12637768402304328,0.018918716992576745,-2.257431108348605,-1.9807910849785915,-1.6825654461623607,-1.268921599297674,-0.6653255444304723,-0.030369378559759796,0.6974993324573998,1.2944986557694178,1.6684308967462724,1.9416300197418237,2.420386401210421
nt_p10_moderate_balanced,1000,118.0,component_2_student_t_coordinate_52,500,-0.12838549719020836,1.6671825769647899,0.049077571037736786,-0.39378061596711555,0.02209919886491163,-2.0936133620229276,-1.8590211686806508,-1.5891452743956382,-1.3328437241311604,-0.658013838158069,-0.013859659061676632,0.6139218021042028,1.366392787215078,1.6981512457651706,2.0437979850710377,2.1560924397475905
nt_p10_moderate_balanced,1000,119.0,component_2_student_t_coordinate_53,500,-0.17913808228794934,1.682405853549504,0.16818295278534698,0.007861673295031846,0.03943195799972976,-2.1453312541523593,-1.7743999554677943,-1.5795285793827873,-1.191721614779432,-0.7003621382276766,-0.039875129970944334,0.6872192721048485,1.3232649267510355,1.7149382764138923,2.1003506837828034,2.3259376682668416
nt_p10_moderate_balanced,1000,120.0,component_2_student_t_coordinate_54,500,-0.4084820672021694,1.5041214986686424,3.118590384261593,37.36306046609967,0.0582893825916011,-2.0825158395396266,-1.9035205398005592,-1.4787953063217547,-1.143294460950407,-0.5493222887259922,0.01930005096711924,0.5403086684062313,1.0695108440444723,1.37467894537505,1.5450815143590353,1.7820944188371632
nt_p10_moderate_balanced,1000,121.0,component_2_student_t_coordinate_55,500,0.06411519885880443,1.6706726016349478,0.020943873071892674,0.11880418442133989,0.02105564677611582,-2.338102518634196,-1.939045268524275,-1.5967726667970639,-1.2925734823026562,-0.7103514016706859,0.007404296460321887,0.6734216970739879,1.244396669427731,1.5674551003583461,1.8177388052599721,2.3156846030556992
nt_p10_moderate_balanced,1000,122.0,component_2_student_t_coordinate_56,500,-0.05156421687366569,1.7571259673446884,-0.44673850901436485,1.138688443012311,0.02998029410743719,-2.3451867119786414,-2.0655440233636835,-1.8274063133418363,-1.246256214118205,-0.6365992354588432,0.04226078687533523,0.7125011736885596,1.2388184130562072,1.5467415390789534,1.711546631629578,2.202460676827925
nt_p10_moderate_balanced,1000,123.0,component_2_student_t_coordinate_57,500,-0.10370419986366697,1.7195839038737006,-0.20172197027259306,0.8936530878623952,0.029703252638236394,-2.5984786599125544,-1.9225077571833642,-1.591746167828044,-1.2170449046323606,-0.6053034799339104,-0.022415634983372644,0.6408221590208738,1.2540279616455774,1.6748240274904815,2.0375243832120287,2.300102739622436
nt_p10_moderate_balanced,1000,124.0,component_2_student_t_coordinate_58,500,0.1854004333173706,1.70199335885067,0.00032679629398335894,0.12666140707340512,0.022418243934026583,-2.47901680476504,-1.90872303276066,-1.633499423766423,-1.2559107027226448,-0.6800937504678837,0.01948809821949318,0.7106049303181886,1.2215514595204888,1.5656600809388974,1.9298600827057424,2.623476790381973
