scenario,n,method,bandwidth_multiplier,coordinate,coordinate_name,replications,bias,bias_mcse,rmse,empirical_sd,mean_estimated_se,median_estimated_se,se_to_empirical_sd,coverage_95,coverage_mcse,mean_interval_width_95,minimum_curvature_eigenvalue,mean_fit_seconds,mean_boundary_shrinkage_factor,stabilization_frequency,median_minimum_kernel_support,selected_admissible_rate
nt_p10_moderate_balanced,1000,corrected_raw,0.75,85.0,component_2_student_t_coordinate_19,160.0,-0.003126559427388336,0.0032233100355999016,0.04076447055909355,0.04077200526949645,0.04688402671302908,0.03873493996344815,1.1499073053467237,0.94375,0.01821502427599261,0.18378538471507416,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,86.0,component_2_student_t_coordinate_20,160.0,-0.0031195677598247,0.004046464982663538,0.05111925704761106,0.051184183269322135,0.0670974672409386,0.05273802973332305,1.3109023716932937,0.9625,0.01501951855087239,0.26302207158447943,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,87.0,component_2_student_t_coordinate_21,160.0,0.003897741373989515,0.004443189974503008,0.05616191231246307,0.056202401585019886,0.06192489147734177,0.0523375441472506,1.1018193125371203,0.93125,0.020003661774160245,0.2427455745911799,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,88.0,component_2_student_t_coordinate_22,160.0,-0.005090908594352214,0.004434004021624826,0.05614195957443814,0.05608620745072376,0.07298612890089545,0.05202777324811465,1.3013204532508216,0.93125,0.020003661774160245,0.2861056252915103,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,89.0,component_2_student_t_coordinate_23,160.0,0.005758212506095606,0.004121109658337664,0.05228327301361604,0.0521283720306614,0.05890588153356411,0.05191368865732775,1.1300157522455572,0.9625,0.01501951855087239,0.23091105561157138,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,90.0,component_2_student_t_coordinate_24,160.0,-0.005424993591533598,0.002658887573220103,0.033963365155193465,0.03363256309477299,0.04655961947115085,0.03888624019292625,1.3843613209005448,0.975,0.012342761036332193,0.18251370832691152,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,91.0,component_2_student_t_coordinate_25,160.0,-0.008365761253007156,0.004854191238057041,0.06177807378728643,0.06140120204117147,0.0696945179568604,0.0528863118715593,1.1350676475377142,0.925,0.020822914061197097,0.2732025103908929,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,92.0,component_2_student_t_coordinate_26,160.0,0.0020307082191971457,0.004251517176902486,0.05364803916682768,0.053777911161363476,0.07105914991088139,0.052130412552409494,1.3213445516257527,0.95,0.017230060940112785,0.2785518676506551,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,93.0,component_2_student_t_coordinate_27,160.0,-0.0030915841073337652,0.00437474759415526,0.05525003274017918,0.055336666343490166,0.06915829912977131,0.052186148523039946,1.249773499192857,0.925,0.020822914061197097,0.27110053258870365,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,94.0,component_2_student_t_coordinate_28,160.0,0.0013777119458825843,0.003986651553334711,0.05028863884448506,0.050427596583943704,0.06100351997820277,0.052082974092919995,1.2097249147429419,0.95,0.017230060940112785,0.239133798314555,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
