scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
nt_p2_strong_balanced,8000,342,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.71702303993516,kmeans,-3.558883307578076,0.00011982480479,4.0,4.0,True,0.47075,,,1.0,1.0187143316765934,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00751806.
nt_p2_strong_balanced,8000,342,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.71702303993516,kmeans,-3.558883307578076,0.00011982480479,4.0,4.0,True,0.47075,,,1.0,1.0237259822678566,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00926013.
nt_p2_strong_balanced,8000,351,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,19.230531840003096,kmeans,-3.548660137394856,0.0001397747310059,4.0,4.0,True,0.461625,,,1.0,1.0350916968682515,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0185751.
nt_p2_strong_balanced,8000,359,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.580909091979265,gmm,-3.550135907601258,2.016471611465676e-06,4.0,4.0,True,0.49325,,,1.0,1.0316935771699989,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0111396.
nt_p2_strong_balanced,8000,359,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,21.580909091979265,gmm,-3.550135907601258,2.016471611465676e-06,4.0,4.0,True,0.49325,,,1.0,1.0151075493196582,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00506538.
nt_p2_strong_balanced,8000,381,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,20.31113046599785,kmeans,-3.548163148645076,0.0246769039025931,4.0,4.0,True,0.472875,,,1.0,1.0783925336267568,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0312647.
nt_p2_strong_balanced,8000,381,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,20.31113046599785,kmeans,-3.548163148645076,0.0246769039025931,4.0,4.0,True,0.472875,,,1.0,1.0397785191761186,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0154604.
nt_p2_strong_balanced,8000,381,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,20.31113046599785,kmeans,-3.548163148645076,0.0246769039025931,4.0,4.0,True,0.472875,,,1.0,1.011333839231526,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00400253.
nt_p2_strong_balanced,8000,385,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,18.749819829012267,kmeans,-3.562353995278655,0.0001305874674955,4.0,4.0,True,0.470125,,,1.0,1.0411363787300283,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0153332.
nt_p2_strong_balanced,8000,385,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,18.749819829012267,kmeans,-3.562353995278655,0.0001305874674955,4.0,4.0,True,0.470125,,,1.0,1.0361091873385024,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0138141.
nt_p2_strong_balanced,8000,385,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,18.749819829012267,kmeans,-3.562353995278655,0.0001305874674955,4.0,4.0,True,0.470125,,,1.0,1.0017488848990672,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000645488.
nt_p2_strong_balanced,8000,402,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,20.364155605988344,kmeans,-3.564623024734649,0.0309802252023434,4.0,4.0,True,0.46325,,,1.0,1.0203594939862612,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00885783.
ntsn_p2_moderate_balanced,4000,0,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,37.69600478000939,kmeans,-3.8380457247898394,0.0080234365065656,12.0,12.0,True,0.29325,,,1.0,1.0701308620259966,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00163141.
ntsn_p2_moderate_balanced,4000,17,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,35.28615310997702,kmeans,-3.83918128634845,3.2038248675370085e-05,12.0,12.0,True,0.305,,,1.0,1.3404988272057885,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0043932.
ntsn_p2_moderate_balanced,4000,17,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,35.28615310997702,kmeans,-3.83918128634845,3.2038248675370085e-05,12.0,12.0,True,0.305,,,1.0,1.192968228813609,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0020129.
ntsn_p2_moderate_balanced,4000,23,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,36.4749943150091,kmeans,-3.8869493892904607,6.334083632708598e-05,12.0,12.0,True,0.31225,,,1.0,1.255128602896709,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00259814.
ntsn_p2_moderate_balanced,4000,24,fit_or_naive_failed,fit,,,,,,,,,,,,,30.065561017981963,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000349753.
ntsn_p2_moderate_balanced,4000,52,fit_or_naive_failed,fit,,,,,,,,,,,,,33.50853084001574,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0034615.
ntsn_p2_moderate_balanced,4000,97,fit_or_naive_failed,fit,,,,,,,,,,,,,36.12910362399998,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000509171.
ntsn_p2_moderate_balanced,4000,117,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,33.569584162090905,kmeans,-3.879282631331327,0.0002522507658744,12.0,12.0,True,0.297,,,1.0,2.2958610946607183,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00600239.
ntsn_p2_moderate_balanced,4000,117,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,33.569584162090905,kmeans,-3.879282631331327,0.0002522507658744,12.0,12.0,True,0.297,,,1.0,1.9411655801100796,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00249036.
ntsn_p2_moderate_balanced,4000,117,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,33.569584162090905,kmeans,-3.879282631331327,0.0002522507658744,12.0,12.0,True,0.297,,,1.0,1.4376839113097888,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000747033.
ntsn_p2_moderate_balanced,4000,152,fit_or_naive_failed,fit,,,,,,,,,,,,,35.026923458091915,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000539926.
ntsn_p2_moderate_balanced,4000,176,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,35.94502163794823,kmeans,-3.8702139514133904,0.0009712035197368,10.0,12.0,True,0.305,,,1.0,1.0364405150991276,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00153384.
ntsn_p2_moderate_balanced,4000,191,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,38.65923358802684,kmeans,-3.845946486546784,0.0010798112028296,8.0,12.0,True,0.2955,,,1.0,1.035268186120784,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00434351.
ntsn_p2_moderate_balanced,4000,195,fit_or_naive_failed,fit,,,,,,,,,,,,,38.579661411000416,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00305698.
ntsn_p2_moderate_balanced,4000,201,fit_or_naive_failed,fit,,,,,,,,,,,,,39.686511602951214,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000923271.
